id,transcription
0,HE HOPED THERE WOULD BE STOOL FOR DINNER TURNIPS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LATELED OUT AND THICK PEPPERED FLOUR FATTENED SAUCE
1,STUFFED INTO YOU HIS BELLY COUNSELED HIM
2,AFTER EARLY NIGHTFALL THE YELLOW LAMPS WOULD LIGHT UP HERE AND THERE THE SQUALID QUARTER OF THE BROWFALS
3,HOW ARE BARTY AND HE GOOD IN YOUR MIND
4,NAME BUT DEN FRESH KNELLY IS WAITING ON YOU COULD NIGHT HUSBAND
5,THE MUSIC CAME NEARER AND HE RECALLED THE WORDS THE WORDS OF SHELLEYS FRAGMENT UPON THE MOON WANDERING COMPANIONLESS PALE FOR WEARINESS
6,THE DULL LIGHT FELL MORE FAINTLY UPON THE PAGE WHEREON ANOTHER REQUATION BEGAN TO UNFOLD ITSELF SLOWLY AND TO SPREAD A BRAW ITS WIDENING TAIL
7,A COLD LUCID INDIFFERENCE RAINED IN HIS SOUL
8,THE KAYOS AND WHICH HIS ARDOR EXTINGUISHED ITSELF WAS A COLD INDIFFERENT KNOWLEDGE OF HIMSELF
9,AT MOST BY AN ALMS GIVEN TO A BEGGAR WHOSE BLESSING HE FLED FROM HE MIGHT HOPE WEARILY TO WIN FOR HIMSELF SOME MEASURE OF ACTUAL GRACE
10,WELL NOW INNESS I DECLARE YOU HAVE A HEAD AND SO HAS MY STICK
11,ON SATURDAY MORNINGS WHEN THE SO DALITY MET IN THE CHAPEL TO RECITE THE LITTLE OFFICE HIS PLACE WAS A QUSHIONED NEALING DESKET THE RIGHT OF THE ALTAR FROM WHICH HE LED HIS WING OF BOYS THROUGH THE RESPONSES
12,HER EYES SEEMED TO REGARD HIM WITH MILD PITY HER HOLINESS A STRANGE LIGHT GLOWING FAINTLY UPON HER FRAIL FLESH DID NOT HUMILIATE THE SINNER WHO APPROACHED HER
13,IF EVER HE WAS IMPELLED TO CASTS IN FROM HIM AND TO REPENT THE IMPULSE THAT MOVED HIM WAS THE WISH TO BE HER NIGHT
14,HE TRIED TO THINK HOW IT COULD BE
15,BUT THE DUSK DEEPENING IN THE SCHOOL ROOM COVERED OVER HIS THOUGHTS THE BELL RANG
16,THEN YOU CAN ASK HIM QUESTIONS ON THE CATICASM DEADLESS
17,STEPHEN LEANING BACK AND DRAWING EYEDLY ON HIS SCRIBBLER LISTENED TO THE TALK ABOUT HIM WHICH HARON CHECKED FROM TIME TO TIME BY SAYING
18,IT WAS STRANGE TOO THAT HE FOUND AN ARROD PLEASURE IN FOLLOWING UP TO THE END THE RIGID LINES OF THE DOCTRINES OF THE CHURCH AND PENETRATING INTO OBSCURE SILENCES ONLY TO HEAR AND FEEL THE MORE DEEPLY HIS OWN CONDEMNATION
19,THE SENTENCE OF SAINT JAMES WHICH SAYS THAT HE WHO HAVE FENDS AGAINST ONE COMMANDMENT BECOMES GUILTY OF ALL HAD SEEMED TO HIM FIRST A SWOLLEN FRAZE UNTIL HE HAD BEGUN TO GROPE IN THE DARKNESS OF HIS OWN STATE
20,IF A MAN HAD STOLED ON A POUND IN HIS YOUTH AND HAD USED THAT POUND TO A MASS A HUGE FORTUNE HOW MUCH WAS HE OBLIGED TO THE GIVE BACK THE POUND HE HAD STOLEN ONLY WERE THE POUND TOGETHER WITH THE COMPOUND INTEREST ACREWING UPON IT OR ALL HIS HUGE FORTUNE
21,IF ALAYMON AND GIVING BAPTISM POOR THE WATER BEFORE SAYING THE WORDS IS THE CHILD BAPTIZED
22,HOW COMES IT THAT WHILE THE FIRST BEATITUDE PROMISES THE KINGDOM OF HEAVEN TO THE POOR OF HEART THE SECOND BE ATTITUDE PROMISES ALSO TO THE MEEK THAT THEY SHALL POSSESS THE LAND
23,WHY WAS THE SACRAMENT OF THE UGARIST INSTITUTED UNDER THE TWO SPECIES OF BREAD AND WINE IF CHESIS CHRIST BE PRESENT BODY AND BLOOD SOUL AND DIVINITY IN THE BREAD ALONE AND IN THE WINE ALONE
24,IF THE WINE CHANGE INTO VINIGOR AND THE HOST CRUMBLE INTO CORRUPTION AFTER THEY HAVE BEEN CONSECRATED IS JESUS CHRIST STILL PRESENT UNDER THEIR SPECIES AS GOD AND AS MAN
25,A GENTLE KICK FROM THE TALL BOY IN THE BENCH BEHIND VERGED STEPHEN TO ASK A DIFFICULT QUESTION
26,THE RECTOR DID NOT ASK FOR A CATECHISM TO HEAR THE LESSON FROM
27,HE CLASPED HIS HANDS ON THE DESK AND SAID
28,THE RETREAT WILL BEGIN ON WHEN SDAY AFTERNOON IN HONOUR OF SAINT FRANCES ZAVIOR WHOSE FEAST DAY IS SATURDAY
29,ON FRIDAY CONFESSION WILL BE HEARD ALL THE AFTERNOON AFTER BEADS
30,BEWARE OF MAKING THAT MISTAKE
31,STEPHEN'S HEART BEGUN SLOWLY TO FOLD AND FADE WITH FEAR LIKE A WITHERING FLOWER
32,HE HAS CALLED AS YOU KNOW THE APOSTLE OF THE INDIES
33,A GREAT SAINT SAINT FRANCES SAVIER
34,THE RECTOR PAUSED AND THEN SHAKING HIS CLASP TO HANDS BEFORE HIM WENT ON
35,HE HAD THE FAITH IN HIM THAT MOVES MOUNTAINS
36,A GREAT SAINT FRANCES DISAVIER
37,IN THE SILENCE THEIR DARK FIRE KINDLED THE DUSK INTO A TONY GLOW
38,HE COULD WAIT NO LONGER
39,FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER
40,HE SET OFF ABRUPTLY FOR THE BULL WALKING RAPIDLY LEST HIS FATHER'S SHRILL WHISTLED MIGHT CALLED HIM BACK AND IN A FEW MOMENTS HE HAD ROUNDED THE CURVE AT THE POLICE BARRICK AND WAS SAFE
41,THE UNIVERSITY
42,BRIDE AFTER SATISFACTION UPLIFTED HIM LIKE LONG SLOW WAVES
